40,38,46
40,27,46
37,10,43
8,33,23
7,17,10
50,15,16
34,47,33
45,27,16
9,15,28
13,13,27
6,37,25
30,29,20
13,22,14
5,5,25
39,34,23
43,45,40
31,37,42
29,39,20
44,31,18
18,34,27
43,21,30
16,42,17
39,41,8
7,41,47
5,30,39
21,35,23
3,12,46
1,26,41
47,28,33
26,24,48
4,25,40
13,7,5
5,47,46
25,4,48
11,49,29
32,11,2
37,8,32
6,42,39
33,12,4
18,25,7
38,8,30
9,8,1
44,15,19
2,10,36
36,30,42
17,37,1
50,35,34
49,38,18
31,9,33
43,29,13
47,29,40
28,44,11
4,24,15
30,45,11
11,48,35
33,30,20
29,41,40
16,40,25
32,1,6
40,49,11
1,27,4
44,29,39
11,19,22
6,50,11
24,18,32
26,39,28
44,6,50
13,19,22
22,2,39
2,2,50
39,15,13
8,4,25
22,12,38
47,5,33
10,6,2
15,15,20
30,2,15
36,32,26
43,21,2
18,27,4
19,37,21
44,38,20
50,23,50
28,25,8
50,14,33
39,49,18
42,50,35
2,21,28
4,42,46
18,15,8
2,2,49
26,26,8
28,42,42
26,49,6
28,19,2
21,37,24
48,32,16
21,8,35
28,3,1
50,11,18
